Grupo;Homens;Mulheres
Mais de 100 anos;4.154543299353135;15.579537372574254
95 a 99 anos;43.62270464320791;113.21130490737292
90 a 94 anos;18.695444847089107;500.6224675720527
85 a 89 anos;55.04769871642903;1310.758410945914
80 a 84 anos;1276.4834287262506;2486.494164662851
75 a 79 anos;2183.212503810072;3461.7732041859995
70 a 74 anos;3308.0551021099336;4717.483916415485
65 a 69 anos;4426.665885460765;5830.9015206421245
60 a 64 anos;6106.140014224269;7803.270952010025
55 a 59 anos;7501.027926982085;9084.947559860468
50 a 54 anos;9056.904392589833;10280.41739424933
45 a 49 anos;10220.176516408712;11663.880312933925
40 a 44 anos;10899.44434585295;12272.520906289159
35 a 39 anos;10841.280739662005;11793.709791038711
30 a 34 anos;11487.312222711416;12360.804951400414
25 a 29 anos;11705.425745927456;12169.69595963017
20 a 24 anos;11861.221119653199;11904.843824296408
15 a 19 anos;12726.40476174349;12227.859565821114
10 a 14 anos;12584.111653740645;12077.257371219563
5 a 9 anos;10440.367311274427;10117.35156974972
0 a 4 anos;9025.745317844685;8713.11593456836
